,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130411000000,100,SrcTotalBytes,allnet,allnet,1784.9444444444443,num
2,20130411000100,100,SrcTotalBytes,allnet,allnet,1627.75,num
3,20130411000200,100,SrcTotalBytes,allnet,allnet,1681.611111111111,num
4,20130411000300,100,SrcTotalBytes,allnet,allnet,1078.0,num
5,20130411000400,100,SrcTotalBytes,allnet,allnet,1658.5185185185185,num
6,20130411000500,100,SrcTotalBytes,allnet,allnet,1158.7619047619048,num
7,20130411000600,100,SrcTotalBytes,allnet,allnet,1351.7777777777778,num
8,20130411000700,100,SrcTotalBytes,allnet,allnet,1158.9166666666667,num
9,20130411000800,100,SrcTotalBytes,allnet,allnet,1186.4795918367347,num
10,20130411000900,100,SrcTotalBytes,allnet,allnet,1286.0077519379845,num
11,20130411001000,100,SrcTotalBytes,allnet,allnet,1349.1136363636363,num
12,20130411001100,100,SrcTotalBytes,allnet,allnet,1558.75,num
13,20130411001200,100,SrcTotalBytes,allnet,allnet,1758.7567567567567,num
14,20130411001300,100,SrcTotalBytes,allnet,allnet,1575.3428571428572,num
15,20130411001400,100,SrcTotalBytes,allnet,allnet,1576.0,num
16,20130411001500,100,SrcTotalBytes,allnet,allnet,1327.159090909091,num
17,20130411001600,100,SrcTotalBytes,allnet,allnet,1439.59375,num
18,20130411001700,100,SrcTotalBytes,allnet,allnet,1244.788990825688,num
19,20130411001800,100,SrcTotalBytes,allnet,allnet,1412.9454545454546,num
20,20130411001900,100,SrcTotalBytes,allnet,allnet,1241.7462686567164,num
21,20130411002000,100,SrcTotalBytes,allnet,allnet,1291.7333333333333,num
22,20130411002100,100,SrcTotalBytes,allnet,allnet,1472.15,num
23,20130411002200,100,SrcTotalBytes,allnet,allnet,1374.7868852459017,num
24,20130411002300,100,SrcTotalBytes,allnet,allnet,1409.5892857142858,num
25,20130411002400,100,SrcTotalBytes,allnet,allnet,1019.8857142857142,num
26,20130411002500,100,SrcTotalBytes,allnet,allnet,1510.3714285714286,num
27,20130411002600,100,SrcTotalBytes,allnet,allnet,1169.0309278350514,num
28,20130411002700,100,SrcTotalBytes,allnet,allnet,1466.6315789473683,num
29,20130411002800,100,SrcTotalBytes,allnet,allnet,1670.0652173913043,num
30,20130411002900,100,SrcTotalBytes,allnet,allnet,1478.6444444444444,num
31,20130411003000,100,SrcTotalBytes,allnet,allnet,1307.142857142857,num
32,20130411003100,100,SrcTotalBytes,allnet,allnet,1341.6060606060605,num
33,20130411003200,100,SrcTotalBytes,allnet,allnet,643.7241379310345,num
34,20130411003300,100,SrcTotalBytes,allnet,allnet,1004.2043010752689,num
35,20130411003400,100,SrcTotalBytes,allnet,allnet,1470.659574468085,num
36,20130411003500,100,SrcTotalBytes,allnet,allnet,1656.945945945946,num
37,20130411003600,100,SrcTotalBytes,allnet,allnet,1574.7906976744187,num
38,20130411003700,100,SrcTotalBytes,allnet,allnet,1659.8701298701299,num
39,20130411003800,100,SrcTotalBytes,allnet,allnet,1112.1473684210525,num
40,20130411003900,100,SrcTotalBytes,allnet,allnet,1204.4105263157894,num
41,20130411004000,100,SrcTotalBytes,allnet,allnet,1633.5526315789473,num
42,20130411004100,100,SrcTotalBytes,allnet,allnet,933.0655737704918,num
43,20130411004200,100,SrcTotalBytes,allnet,allnet,1184.340425531915,num
44,20130411004300,100,SrcTotalBytes,allnet,allnet,1167.7272727272727,num
45,20130411004400,100,SrcTotalBytes,allnet,allnet,1470.9148936170213,num
46,20130411004500,100,SrcTotalBytes,allnet,allnet,1389.5194805194806,num
47,20130411004600,100,SrcTotalBytes,allnet,allnet,1339.6829268292684,num
48,20130411004700,100,SrcTotalBytes,allnet,allnet,1079.1632653061224,num
49,20130411004800,100,SrcTotalBytes,allnet,allnet,1500.921875,num
50,20130411004900,100,SrcTotalBytes,allnet,allnet,1518.326923076923,num
51,20130411005000,100,SrcTotalBytes,allnet,allnet,1344.6938775510205,num
52,20130411005100,100,SrcTotalBytes,allnet,allnet,1464.9791666666667,num
53,20130411005200,100,SrcTotalBytes,allnet,allnet,1173.409090909091,num
54,20130411005300,100,SrcTotalBytes,allnet,allnet,1200.4050632911392,num
55,20130411005400,100,SrcTotalBytes,allnet,allnet,1141.6081081081081,num
56,20130411005500,100,SrcTotalBytes,allnet,allnet,1306.7435897435898,num
57,20130411005600,100,SrcTotalBytes,allnet,allnet,1577.7142857142858,num
58,20130411005700,100,SrcTotalBytes,allnet,allnet,1570.125,num
