,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130411000000,100,SrcPacketCount,allnet,allnet,18.0,num
2,20130411000100,100,SrcPacketCount,allnet,allnet,18.8125,num
3,20130411000200,100,SrcPacketCount,allnet,allnet,17.27777777777778,num
4,20130411000300,100,SrcPacketCount,allnet,allnet,8.833333333333334,num
5,20130411000400,100,SrcPacketCount,allnet,allnet,10.333333333333334,num
6,20130411000500,100,SrcPacketCount,allnet,allnet,9.452380952380953,num
7,20130411000600,100,SrcPacketCount,allnet,allnet,15.412698412698413,num
8,20130411000700,100,SrcPacketCount,allnet,allnet,7.75,num
9,20130411000800,100,SrcPacketCount,allnet,allnet,11.551020408163266,num
10,20130411000900,100,SrcPacketCount,allnet,allnet,15.279069767441861,num
11,20130411001000,100,SrcPacketCount,allnet,allnet,9.386363636363637,num
12,20130411001100,100,SrcPacketCount,allnet,allnet,9.725,num
13,20130411001200,100,SrcPacketCount,allnet,allnet,10.594594594594595,num
14,20130411001300,100,SrcPacketCount,allnet,allnet,9.714285714285714,num
15,20130411001400,100,SrcPacketCount,allnet,allnet,9.323529411764707,num
16,20130411001500,100,SrcPacketCount,allnet,allnet,8.772727272727273,num
17,20130411001600,100,SrcPacketCount,allnet,allnet,12.125,num
18,20130411001700,100,SrcPacketCount,allnet,allnet,13.275229357798166,num
19,20130411001800,100,SrcPacketCount,allnet,allnet,10.2,num
20,20130411001900,100,SrcPacketCount,allnet,allnet,9.64179104477612,num
21,20130411002000,100,SrcPacketCount,allnet,allnet,14.311111111111112,num
22,20130411002100,100,SrcPacketCount,allnet,allnet,11.0,num
23,20130411002200,100,SrcPacketCount,allnet,allnet,14.262295081967213,num
24,20130411002300,100,SrcPacketCount,allnet,allnet,9.25,num
25,20130411002400,100,SrcPacketCount,allnet,allnet,12.676190476190476,num
26,20130411002500,100,SrcPacketCount,allnet,allnet,8.914285714285715,num
27,20130411002600,100,SrcPacketCount,allnet,allnet,9.690721649484535,num
28,20130411002700,100,SrcPacketCount,allnet,allnet,12.526315789473685,num
29,20130411002800,100,SrcPacketCount,allnet,allnet,10.76086956521739,num
30,20130411002900,100,SrcPacketCount,allnet,allnet,8.688888888888888,num
31,20130411003000,100,SrcPacketCount,allnet,allnet,8.857142857142858,num
32,20130411003100,100,SrcPacketCount,allnet,allnet,16.272727272727273,num
33,20130411003200,100,SrcPacketCount,allnet,allnet,5.816091954022989,num
34,20130411003300,100,SrcPacketCount,allnet,allnet,8.913978494623656,num
35,20130411003400,100,SrcPacketCount,allnet,allnet,11.851063829787234,num
36,20130411003500,100,SrcPacketCount,allnet,allnet,10.91891891891892,num
37,20130411003600,100,SrcPacketCount,allnet,allnet,9.86046511627907,num
38,20130411003700,100,SrcPacketCount,allnet,allnet,17.337662337662337,num
39,20130411003800,100,SrcPacketCount,allnet,allnet,10.063157894736841,num
40,20130411003900,100,SrcPacketCount,allnet,allnet,13.652631578947368,num
41,20130411004000,100,SrcPacketCount,allnet,allnet,9.631578947368421,num
42,20130411004100,100,SrcPacketCount,allnet,allnet,7.901639344262295,num
43,20130411004200,100,SrcPacketCount,allnet,allnet,6.957446808510638,num
44,20130411004300,100,SrcPacketCount,allnet,allnet,6.954545454545454,num
45,20130411004400,100,SrcPacketCount,allnet,allnet,8.829787234042554,num
46,20130411004500,100,SrcPacketCount,allnet,allnet,14.584415584415584,num
47,20130411004600,100,SrcPacketCount,allnet,allnet,15.715447154471544,num
48,20130411004700,100,SrcPacketCount,allnet,allnet,8.918367346938776,num
49,20130411004800,100,SrcPacketCount,allnet,allnet,10.640625,num
50,20130411004900,100,SrcPacketCount,allnet,allnet,17.01923076923077,num
51,20130411005000,100,SrcPacketCount,allnet,allnet,11.53061224489796,num
52,20130411005100,100,SrcPacketCount,allnet,allnet,9.354166666666666,num
53,20130411005200,100,SrcPacketCount,allnet,allnet,8.984848484848484,num
54,20130411005300,100,SrcPacketCount,allnet,allnet,11.645569620253164,num
55,20130411005400,100,SrcPacketCount,allnet,allnet,9.45945945945946,num
56,20130411005500,100,SrcPacketCount,allnet,allnet,7.871794871794871,num
57,20130411005600,100,SrcPacketCount,allnet,allnet,19.464285714285715,num
58,20130411005700,100,SrcPacketCount,allnet,allnet,9.125,num
59,20130411005800,100,SrcPacketCount,allnet,allnet,14.522388059701493,num
60,20130411005900,100,SrcPacketCount,allnet,allnet,13.247863247863247,num
61,20130411010000,100,SrcPacketCount,allnet,allnet,16.467391304347824,num
62,20130411010100,100,SrcPacketCount,allnet,allnet,11.461538461538462,num
63,20130411010200,100,SrcPacketCount,allnet,allnet,9.204081632653061,num
64,20130411010300,100,SrcPacketCount,allnet,allnet,11.44186046511628,num
65,20130411010400,100,SrcPacketCount,allnet,allnet,7.166666666666667,num
66,20130411010500,100,SrcPacketCount,allnet,allnet,10.142857142857142,num
67,20130411010600,100,SrcPacketCount,allnet,allnet,15.216867469879517,num
68,20130411010700,100,SrcPacketCount,allnet,allnet,11.354166666666666,num
69,20130411010800,100,SrcPacketCount,allnet,allnet,10.883720930232558,num
70,20130411010900,100,SrcPacketCount,allnet,allnet,12.76271186440678,num
71,20130411011000,100,SrcPacketCount,allnet,allnet,7.428571428571429,num
72,20130411011100,100,SrcPacketCount,allnet,allnet,10.76923076923077,num
73,20130411011200,100,SrcPacketCount,allnet,allnet,8.826086956521738,num
74,20130411011300,100,SrcPacketCount,allnet,allnet,8.714285714285714,num
75,20130411011400,100,SrcPacketCount,allnet,allnet,10.03225806451613,num
76,20130411011500,100,SrcPacketCount,allnet,allnet,15.517241379310345,num
77,20130411011600,100,SrcPacketCount,allnet,allnet,17.83076923076923,num
78,20130411011700,100,SrcPacketCount,allnet,allnet,11.972222222222221,num
79,20130411011800,100,SrcPacketCount,allnet,allnet,10.983050847457626,num
80,20130411011900,100,SrcPacketCount,allnet,allnet,16.12121212121212,num
81,20130411012000,100,SrcPacketCount,allnet,allnet,14.06060606060606,num
82,20130411012100,100,SrcPacketCount,allnet,allnet,12.347826086956522,num
83,20130411012200,100,SrcPacketCount,allnet,allnet,10.058823529411764,num
84,20130411012300,100,SrcPacketCount,allnet,allnet,10.53125,num
85,20130411012400,100,SrcPacketCount,allnet,allnet,7.086956521739131,num
86,20130411012500,100,SrcPacketCount,allnet,allnet,9.222222222222221,num
87,20130411012600,100,SrcPacketCount,allnet,allnet,9.685714285714285,num
88,20130411012700,100,SrcPacketCount,allnet,allnet,10.06578947368421,num
89,20130411012800,100,SrcPacketCount,allnet,allnet,10.267857142857142,num
90,20130411012900,100,SrcPacketCount,allnet,allnet,10.595505617977528,num
91,20130411013000,100,SrcPacketCount,allnet,allnet,7.491525423728813,num
92,20130411013100,100,SrcPacketCount,allnet,allnet,11.969696969696969,num
93,20130411013200,100,SrcPacketCount,allnet,allnet,8.93421052631579,num
94,20130411013300,100,SrcPacketCount,allnet,allnet,8.75,num
95,20130411013400,100,SrcPacketCount,allnet,allnet,8.534653465346535,num
96,20130411013500,100,SrcPacketCount,allnet,allnet,9.378378378378379,num
97,20130411013600,100,SrcPacketCount,allnet,allnet,9.666666666666666,num
98,20130411013700,100,SrcPacketCount,allnet,allnet,9.823529411764707,num
99,20130411013800,100,SrcPacketCount,allnet,allnet,16.26027397260274,num
100,20130411013900,100,SrcPacketCount,allnet,allnet,6.882352941176471,num
101,20130411014000,100,SrcPacketCount,allnet,allnet,7.625,num
102,20130411014100,100,SrcPacketCount,allnet,allnet,15.485294117647058,num
103,20130411014200,100,SrcPacketCount,allnet,allnet,14.738461538461538,num
104,20130411014300,100,SrcPacketCount,allnet,allnet,15.006410256410257,num
105,20130411014400,100,SrcPacketCount,allnet,allnet,14.009345794392523,num
106,20130411014500,100,SrcPacketCount,allnet,allnet,12.434782608695652,num
107,20130411014600,100,SrcPacketCount,allnet,allnet,9.612244897959183,num
108,20130411014700,100,SrcPacketCount,allnet,allnet,13.153846153846153,num
109,20130411014800,100,SrcPacketCount,allnet,allnet,15.594594594594595,num
110,20130411014900,100,SrcPacketCount,allnet,allnet,9.76923076923077,num
111,20130411015000,100,SrcPacketCount,allnet,allnet,8.756756756756756,num
112,20130411015100,100,SrcPacketCount,allnet,allnet,15.567164179104477,num
113,20130411015200,100,SrcPacketCount,allnet,allnet,8.595238095238095,num
114,20130411015300,100,SrcPacketCount,allnet,allnet,9.62962962962963,num
115,20130411015400,100,SrcPacketCount,allnet,allnet,6.256410256410256,num
116,20130411015500,100,SrcPacketCount,allnet,allnet,14.358333333333333,num
117,20130411015600,100,SrcPacketCount,allnet,allnet,9.3,num
118,20130411015700,100,SrcPacketCount,allnet,allnet,12.82,num
119,20130411015800,100,SrcPacketCount,allnet,allnet,11.298850574712644,num
120,20130411015900,100,SrcPacketCount,allnet,allnet,19.083333333333332,num
121,20130411020000,100,SrcPacketCount,allnet,allnet,15.151898734177216,num
122,20130411020100,100,SrcPacketCount,allnet,allnet,15.532467532467532,num
123,20130411020200,100,SrcPacketCount,allnet,allnet,11.810344827586206,num
124,20130411020300,100,SrcPacketCount,allnet,allnet,9.274193548387096,num
125,20130411020400,100,SrcPacketCount,allnet,allnet,11.3125,num
126,20130411020500,100,SrcPacketCount,allnet,allnet,9.25531914893617,num
127,20130411020600,100,SrcPacketCount,allnet,allnet,8.079365079365079,num
128,20130411020700,100,SrcPacketCount,allnet,allnet,8.0625,num
129,20130411020800,100,SrcPacketCount,allnet,allnet,7.87037037037037,num
130,20130411020900,100,SrcPacketCount,allnet,allnet,12.29126213592233,num
131,20130411021000,100,SrcPacketCount,allnet,allnet,6.098039215686274,num
132,20130411021100,100,SrcPacketCount,allnet,allnet,17.35514018691589,num
133,20130411021200,100,SrcPacketCount,allnet,allnet,11.0,num
134,20130411021300,100,SrcPacketCount,allnet,allnet,14.166666666666666,num
135,20130411021400,100,SrcPacketCount,allnet,allnet,8.590909090909092,num
136,20130411021500,100,SrcPacketCount,allnet,allnet,12.088235294117647,num
137,20130411021600,100,SrcPacketCount,allnet,allnet,9.59375,num
138,20130411021700,100,SrcPacketCount,allnet,allnet,15.984126984126984,num
139,20130411021800,100,SrcPacketCount,allnet,allnet,12.529411764705882,num
140,20130411021900,100,SrcPacketCount,allnet,allnet,7.75,num
141,20130411022000,100,SrcPacketCount,allnet,allnet,9.829268292682928,num
142,20130411022100,100,SrcPacketCount,allnet,allnet,15.306451612903226,num
143,20130411022200,100,SrcPacketCount,allnet,allnet,8.878048780487806,num
144,20130411022300,100,SrcPacketCount,allnet,allnet,10.176470588235293,num
145,20130411022400,100,SrcPacketCount,allnet,allnet,7.16,num
146,20130411022500,100,SrcPacketCount,allnet,allnet,12.494949494949495,num
147,20130411022600,100,SrcPacketCount,allnet,allnet,10.31578947368421,num
148,20130411022700,100,SrcPacketCount,allnet,allnet,11.371794871794872,num
149,20130411022800,100,SrcPacketCount,allnet,allnet,10.11864406779661,num
150,20130411022900,100,SrcPacketCount,allnet,allnet,10.107142857142858,num
151,20130411023000,100,SrcPacketCount,allnet,allnet,8.595744680851064,num
152,20130411023100,100,SrcPacketCount,allnet,allnet,18.441860465116278,num
153,20130411023200,100,SrcPacketCount,allnet,allnet,14.764705882352942,num
154,20130411023300,100,SrcPacketCount,allnet,allnet,7.584615384615384,num
155,20130411023400,100,SrcPacketCount,allnet,allnet,12.566037735849056,num
156,20130411023500,100,SrcPacketCount,allnet,allnet,9.76,num
157,20130411023600,100,SrcPacketCount,allnet,allnet,8.578947368421053,num
158,20130411023700,100,SrcPacketCount,allnet,allnet,11.851063829787234,num
159,20130411023800,100,SrcPacketCount,allnet,allnet,16.24074074074074,num
160,20130411023900,100,SrcPacketCount,allnet,allnet,9.324324324324325,num
161,20130411024000,100,SrcPacketCount,allnet,allnet,13.47787610619469,num
162,20130411024100,100,SrcPacketCount,allnet,allnet,8.344827586206897,num
163,20130411024200,100,SrcPacketCount,allnet,allnet,6.072463768115942,num
164,20130411024300,100,SrcPacketCount,allnet,allnet,7.68,num
165,20130411024400,100,SrcPacketCount,allnet,allnet,9.018181818181818,num
166,20130411024500,100,SrcPacketCount,allnet,allnet,13.972972972972974,num
167,20130411024600,100,SrcPacketCount,allnet,allnet,14.577319587628866,num
168,20130411024700,100,SrcPacketCount,allnet,allnet,11.928571428571429,num
169,20130411024800,100,SrcPacketCount,allnet,allnet,12.183098591549296,num
170,20130411024900,100,SrcPacketCount,allnet,allnet,10.1875,num
171,20130411025000,100,SrcPacketCount,allnet,allnet,8.625,num
172,20130411025100,100,SrcPacketCount,allnet,allnet,8.933333333333334,num
173,20130411025200,100,SrcPacketCount,allnet,allnet,15.487804878048781,num
174,20130411025300,100,SrcPacketCount,allnet,allnet,11.06060606060606,num
175,20130411025400,100,SrcPacketCount,allnet,allnet,16.26923076923077,num
176,20130411025500,100,SrcPacketCount,allnet,allnet,17.388429752066116,num
177,20130411025600,100,SrcPacketCount,allnet,allnet,5.223684210526316,num
178,20130411025700,100,SrcPacketCount,allnet,allnet,9.682242990654206,num
179,20130411025800,100,SrcPacketCount,allnet,allnet,9.552631578947368,num
180,20130411025900,100,SrcPacketCount,allnet,allnet,11.411764705882353,num
181,20130411030000,100,SrcPacketCount,allnet,allnet,12.421052631578947,num
182,20130411030100,100,SrcPacketCount,allnet,allnet,14.836065573770492,num
183,20130411030200,100,SrcPacketCount,allnet,allnet,9.935779816513762,num
184,20130411030300,100,SrcPacketCount,allnet,allnet,8.117647058823529,num
185,20130411030400,100,SrcPacketCount,allnet,allnet,9.903846153846153,num
186,20130411030500,100,SrcPacketCount,allnet,allnet,15.892307692307693,num
187,20130411030600,100,SrcPacketCount,allnet,allnet,5.343283582089552,num
188,20130411030700,100,SrcPacketCount,allnet,allnet,5.482758620689655,num
189,20130411030800,100,SrcPacketCount,allnet,allnet,9.619565217391305,num
190,20130411030900,100,SrcPacketCount,allnet,allnet,10.525641025641026,num
191,20130411031000,100,SrcPacketCount,allnet,allnet,11.80232558139535,num
192,20130411031100,100,SrcPacketCount,allnet,allnet,15.013157894736842,num
193,20130411031200,100,SrcPacketCount,allnet,allnet,8.882352941176471,num
194,20130411031300,100,SrcPacketCount,allnet,allnet,8.952380952380953,num
195,20130411031400,100,SrcPacketCount,allnet,allnet,15.306930693069306,num
196,20130411031500,100,SrcPacketCount,allnet,allnet,9.192307692307692,num
197,20130411031600,100,SrcPacketCount,allnet,allnet,6.838709677419355,num
198,20130411031700,100,SrcPacketCount,allnet,allnet,6.4375,num
199,20130411031800,100,SrcPacketCount,allnet,allnet,16.193181818181817,num
200,20130411031900,100,SrcPacketCount,allnet,allnet,9.392156862745098,num
201,20130411032000,100,SrcPacketCount,allnet,allnet,9.153846153846153,num
202,20130411032100,100,SrcPacketCount,allnet,allnet,8.542857142857143,num
203,20130411032200,100,SrcPacketCount,allnet,allnet,8.82089552238806,num
204,20130411032300,100,SrcPacketCount,allnet,allnet,10.735849056603774,num
205,20130411032400,100,SrcPacketCount,allnet,allnet,16.103448275862068,num
206,20130411032500,100,SrcPacketCount,allnet,allnet,21.862068965517242,num
207,20130411032600,100,SrcPacketCount,allnet,allnet,8.94915254237288,num
208,20130411032700,100,SrcPacketCount,allnet,allnet,11.43661971830986,num
209,20130411032800,100,SrcPacketCount,allnet,allnet,14.146341463414634,num
210,20130411032900,100,SrcPacketCount,allnet,allnet,12.350877192982455,num
211,20130411033000,100,SrcPacketCount,allnet,allnet,8.209302325581396,num
212,20130411033100,100,SrcPacketCount,allnet,allnet,8.614035087719298,num
213,20130411033200,100,SrcPacketCount,allnet,allnet,8.76086956521739,num
214,20130411033300,100,SrcPacketCount,allnet,allnet,12.35,num
215,20130411033400,100,SrcPacketCount,allnet,allnet,9.121951219512194,num
216,20130411033500,100,SrcPacketCount,allnet,allnet,10.379310344827585,num
217,20130411033600,100,SrcPacketCount,allnet,allnet,9.731707317073171,num
218,20130411033700,100,SrcPacketCount,allnet,allnet,13.886075949367088,num
219,20130411033800,100,SrcPacketCount,allnet,allnet,11.961538461538462,num
220,20130411033900,100,SrcPacketCount,allnet,allnet,12.48076923076923,num
221,20130411034000,100,SrcPacketCount,allnet,allnet,11.425925925925926,num
222,20130411034100,100,SrcPacketCount,allnet,allnet,9.310344827586206,num
223,20130411034200,100,SrcPacketCount,allnet,allnet,8.566037735849056,num
224,20130411034300,100,SrcPacketCount,allnet,allnet,15.04054054054054,num
225,20130411034400,100,SrcPacketCount,allnet,allnet,11.053571428571429,num
226,20130411034500,100,SrcPacketCount,allnet,allnet,9.465753424657533,num
227,20130411034600,100,SrcPacketCount,allnet,allnet,8.282051282051283,num
228,20130411034700,100,SrcPacketCount,allnet,allnet,10.727272727272727,num
229,20130411034800,100,SrcPacketCount,allnet,allnet,10.607843137254902,num
230,20130411034900,100,SrcPacketCount,allnet,allnet,9.974358974358974,num
231,20130411035000,100,SrcPacketCount,allnet,allnet,8.982456140350877,num
232,20130411035100,100,SrcPacketCount,allnet,allnet,15.963636363636363,num
233,20130411035200,100,SrcPacketCount,allnet,allnet,19.227272727272727,num
234,20130411035300,100,SrcPacketCount,allnet,allnet,12.482142857142858,num
235,20130411035400,100,SrcPacketCount,allnet,allnet,8.720588235294118,num
236,20130411035500,100,SrcPacketCount,allnet,allnet,7.833333333333333,num
237,20130411035600,100,SrcPacketCount,allnet,allnet,9.926829268292684,num
238,20130411035700,100,SrcPacketCount,allnet,allnet,9.709090909090909,num
239,20130411035800,100,SrcPacketCount,allnet,allnet,14.090909090909092,num
240,20130411035900,100,SrcPacketCount,allnet,allnet,15.580246913580247,num
241,20130411040000,100,SrcPacketCount,allnet,allnet,17.516666666666666,num
242,20130411040100,100,SrcPacketCount,allnet,allnet,11.244444444444444,num
243,20130411040200,100,SrcPacketCount,allnet,allnet,9.575,num
244,20130411040300,100,SrcPacketCount,allnet,allnet,9.972972972972974,num
245,20130411040400,100,SrcPacketCount,allnet,allnet,10.92,num
246,20130411040500,100,SrcPacketCount,allnet,allnet,15.354430379746836,num
247,20130411040600,100,SrcPacketCount,allnet,allnet,7.5476190476190474,num
248,20130411040700,100,SrcPacketCount,allnet,allnet,7.611111111111111,num
249,20130411040800,100,SrcPacketCount,allnet,allnet,9.576923076923077,num
250,20130411040900,100,SrcPacketCount,allnet,allnet,12.981818181818182,num
251,20130411041000,100,SrcPacketCount,allnet,allnet,15.26027397260274,num
252,20130411041100,100,SrcPacketCount,allnet,allnet,9.755555555555556,num
253,20130411041200,100,SrcPacketCount,allnet,allnet,14.63888888888889,num
254,20130411041300,100,SrcPacketCount,allnet,allnet,8.76595744680851,num
255,20130411041400,100,SrcPacketCount,allnet,allnet,15.601307189542483,num
256,20130411041500,100,SrcPacketCount,allnet,allnet,10.555555555555555,num
257,20130411041600,100,SrcPacketCount,allnet,allnet,9.125,num
258,20130411041700,100,SrcPacketCount,allnet,allnet,8.538461538461538,num
259,20130411041800,100,SrcPacketCount,allnet,allnet,8.46551724137931,num
260,20130411041900,100,SrcPacketCount,allnet,allnet,9.511363636363637,num
261,20130411042000,100,SrcPacketCount,allnet,allnet,9.030303030303031,num
262,20130411042100,100,SrcPacketCount,allnet,allnet,8.238805970149254,num
263,20130411042200,100,SrcPacketCount,allnet,allnet,8.0,num
264,20130411042300,100,SrcPacketCount,allnet,allnet,15.485294117647058,num
265,20130411042400,100,SrcPacketCount,allnet,allnet,13.06578947368421,num
266,20130411042500,100,SrcPacketCount,allnet,allnet,14.490196078431373,num
267,20130411042600,100,SrcPacketCount,allnet,allnet,15.910112359550562,num
268,20130411042700,100,SrcPacketCount,allnet,allnet,6.705882352941177,num
269,20130411042800,100,SrcPacketCount,allnet,allnet,11.218181818181819,num
270,20130411042900,100,SrcPacketCount,allnet,allnet,13.18421052631579,num
271,20130411043000,100,SrcPacketCount,allnet,allnet,9.0,num
272,20130411043100,100,SrcPacketCount,allnet,allnet,8.775,num
273,20130411043200,100,SrcPacketCount,allnet,allnet,16.77777777777778,num
274,20130411043300,100,SrcPacketCount,allnet,allnet,10.924050632911392,num
275,20130411043400,100,SrcPacketCount,allnet,allnet,10.666666666666666,num
276,20130411043500,100,SrcPacketCount,allnet,allnet,12.333333333333334,num
277,20130411043600,100,SrcPacketCount,allnet,allnet,17.103448275862068,num
278,20130411043700,100,SrcPacketCount,allnet,allnet,14.842696629213483,num
279,20130411043800,100,SrcPacketCount,allnet,allnet,10.375,num
280,20130411043900,100,SrcPacketCount,allnet,allnet,12.3,num
281,20130411044000,100,SrcPacketCount,allnet,allnet,9.391304347826088,num
282,20130411044100,100,SrcPacketCount,allnet,allnet,9.08,num
283,20130411044200,100,SrcPacketCount,allnet,allnet,7.0602409638554215,num
284,20130411044300,100,SrcPacketCount,allnet,allnet,8.30188679245283,num
285,20130411044400,100,SrcPacketCount,allnet,allnet,13.225,num
286,20130411044500,100,SrcPacketCount,allnet,allnet,8.45,num
287,20130411044600,100,SrcPacketCount,allnet,allnet,9.304347826086957,num
288,20130411044700,100,SrcPacketCount,allnet,allnet,10.052631578947368,num
289,20130411044800,100,SrcPacketCount,allnet,allnet,16.352941176470587,num
290,20130411044900,100,SrcPacketCount,allnet,allnet,12.272727272727273,num
291,20130411045000,100,SrcPacketCount,allnet,allnet,15.661971830985916,num
292,20130411045100,100,SrcPacketCount,allnet,allnet,9.386363636363637,num
293,20130411045200,100,SrcPacketCount,allnet,allnet,14.666666666666666,num
294,20130411045300,100,SrcPacketCount,allnet,allnet,15.661290322580646,num
295,20130411045400,100,SrcPacketCount,allnet,allnet,7.137254901960785,num
296,20130411045500,100,SrcPacketCount,allnet,allnet,1.230690537084399,num
297,20130411045600,100,SrcPacketCount,allnet,allnet,1.1550468262226847,num
298,20130411045700,100,SrcPacketCount,allnet,allnet,1.066002062564455,num
299,20130411045800,100,SrcPacketCount,allnet,allnet,1.4321049974760223,num
300,20130411045900,100,SrcPacketCount,allnet,allnet,1.3759108444063437,num
301,20130411050000,100,SrcPacketCount,allnet,allnet,1.5966993295513152,num
