,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130413000000,100,DestIp,allnet,allnet,3,num
2,20130413000100,100,DestIp,allnet,allnet,9,num
3,20130413000200,100,DestIp,allnet,allnet,2,num
4,20130413000300,100,DestIp,allnet,allnet,2,num
5,20130413000400,100,DestIp,allnet,allnet,4,num
6,20130413000500,100,DestIp,allnet,allnet,13,num
7,20130413000600,100,DestIp,allnet,allnet,4,num
8,20130413000700,100,DestIp,allnet,allnet,3,num
9,20130413000800,100,DestIp,allnet,allnet,5,num
10,20130413000900,100,DestIp,allnet,allnet,12,num
11,20130413001000,100,DestIp,allnet,allnet,6,num
12,20130413001100,100,DestIp,allnet,allnet,2,num
13,20130413001200,100,DestIp,allnet,allnet,5,num
14,20130413001300,100,DestIp,allnet,allnet,12,num
15,20130413001400,100,DestIp,allnet,allnet,5,num
16,20130413001500,100,DestIp,allnet,allnet,4,num
17,20130413001600,100,DestIp,allnet,allnet,3,num
18,20130413001700,100,DestIp,allnet,allnet,13,num
19,20130413001800,100,DestIp,allnet,allnet,9,num
20,20130413001900,100,DestIp,allnet,allnet,6,num
21,20130413002000,100,DestIp,allnet,allnet,4,num
22,20130413002100,100,DestIp,allnet,allnet,9,num
23,20130413002200,100,DestIp,allnet,allnet,12,num
24,20130413002300,100,DestIp,allnet,allnet,8,num
25,20130413002400,100,DestIp,allnet,allnet,4,num
26,20130413002500,100,DestIp,allnet,allnet,11,num
27,20130413002600,100,DestIp,allnet,allnet,11,num
28,20130413002700,100,DestIp,allnet,allnet,6,num
29,20130413002800,100,DestIp,allnet,allnet,5,num
30,20130413002900,100,DestIp,allnet,allnet,10,num
31,20130413003000,100,DestIp,allnet,allnet,14,num
32,20130413003100,100,DestIp,allnet,allnet,6,num
33,20130413003200,100,DestIp,allnet,allnet,6,num
34,20130413003300,100,DestIp,allnet,allnet,11,num
35,20130413003400,100,DestIp,allnet,allnet,13,num
36,20130413003500,100,DestIp,allnet,allnet,7,num
37,20130413003600,100,DestIp,allnet,allnet,5,num
38,20130413003700,100,DestIp,allnet,allnet,10,num
39,20130413003800,100,DestIp,allnet,allnet,13,num
40,20130413003900,100,DestIp,allnet,allnet,6,num
41,20130413004000,100,DestIp,allnet,allnet,6,num
42,20130413004100,100,DestIp,allnet,allnet,9,num
43,20130413004200,100,DestIp,allnet,allnet,12,num
44,20130413004300,100,DestIp,allnet,allnet,5,num
45,20130413004400,100,DestIp,allnet,allnet,5,num
46,20130413004500,100,DestIp,allnet,allnet,9,num
47,20130413004600,100,DestIp,allnet,allnet,10,num
48,20130413004700,100,DestIp,allnet,allnet,5,num
49,20130413004800,100,DestIp,allnet,allnet,4,num
50,20130413004900,100,DestIp,allnet,allnet,11,num
51,20130413005000,100,DestIp,allnet,allnet,11,num
52,20130413005100,100,DestIp,allnet,allnet,4,num
53,20130413005200,100,DestIp,allnet,allnet,5,num
54,20130413005300,100,DestIp,allnet,allnet,15,num
55,20130413005400,100,DestIp,allnet,allnet,12,num
56,20130413005500,100,DestIp,allnet,allnet,5,num
57,20130413005600,100,DestIp,allnet,allnet,4,num
58,20130413005700,100,DestIp,allnet,allnet,12,num
59,20130413005800,100,DestIp,allnet,allnet,11,num
60,20130413005900,100,DestIp,allnet,allnet,6,num
61,20130413010000,100,DestIp,allnet,allnet,10,num
62,20130413010100,100,DestIp,allnet,allnet,11,num
63,20130413010200,100,DestIp,allnet,allnet,9,num
64,20130413010300,100,DestIp,allnet,allnet,7,num
65,20130413010400,100,DestIp,allnet,allnet,10,num
66,20130413010500,100,DestIp,allnet,allnet,13,num
67,20130413010600,100,DestIp,allnet,allnet,9,num
68,20130413010700,100,DestIp,allnet,allnet,4,num
69,20130413010800,100,DestIp,allnet,allnet,12,num
70,20130413010900,100,DestIp,allnet,allnet,12,num
71,20130413011000,100,DestIp,allnet,allnet,7,num
72,20130413011100,100,DestIp,allnet,allnet,5,num
73,20130413011200,100,DestIp,allnet,allnet,14,num
74,20130413011300,100,DestIp,allnet,allnet,9,num
75,20130413011400,100,DestIp,allnet,allnet,6,num
76,20130413011500,100,DestIp,allnet,allnet,8,num
77,20130413011600,100,DestIp,allnet,allnet,12,num
78,20130413011700,100,DestIp,allnet,allnet,10,num
79,20130413011800,100,DestIp,allnet,allnet,5,num
80,20130413011900,100,DestIp,allnet,allnet,13,num
81,20130413012000,100,DestIp,allnet,allnet,11,num
82,20130413012100,100,DestIp,allnet,allnet,7,num
