,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130411000000,100,DestPort,allnet,allnet,2,num
2,20130411000100,100,DestPort,allnet,allnet,2,num
3,20130411000200,100,DestPort,allnet,allnet,2,num
4,20130411000300,100,DestPort,allnet,allnet,4,num
5,20130411000400,100,DestPort,allnet,allnet,3,num
6,20130411000500,100,DestPort,allnet,allnet,3,num
7,20130411000600,100,DestPort,allnet,allnet,5,num
8,20130411000700,100,DestPort,allnet,allnet,5,num
9,20130411000800,100,DestPort,allnet,allnet,7,num
10,20130411000900,100,DestPort,allnet,allnet,5,num
11,20130411001000,100,DestPort,allnet,allnet,4,num
12,20130411001100,100,DestPort,allnet,allnet,3,num
13,20130411001200,100,DestPort,allnet,allnet,3,num
14,20130411001300,100,DestPort,allnet,allnet,3,num
15,20130411001400,100,DestPort,allnet,allnet,4,num
16,20130411001500,100,DestPort,allnet,allnet,5,num
17,20130411001600,100,DestPort,allnet,allnet,3,num
18,20130411001700,100,DestPort,allnet,allnet,4,num
19,20130411001800,100,DestPort,allnet,allnet,4,num
20,20130411001900,100,DestPort,allnet,allnet,5,num
21,20130411002000,100,DestPort,allnet,allnet,2,num
22,20130411002100,100,DestPort,allnet,allnet,5,num
23,20130411002200,100,DestPort,allnet,allnet,5,num
24,20130411002300,100,DestPort,allnet,allnet,5,num
25,20130411002400,100,DestPort,allnet,allnet,6,num
26,20130411002500,100,DestPort,allnet,allnet,6,num
27,20130411002600,100,DestPort,allnet,allnet,6,num
28,20130411002700,100,DestPort,allnet,allnet,6,num
29,20130411002800,100,DestPort,allnet,allnet,4,num
30,20130411002900,100,DestPort,allnet,allnet,6,num
31,20130411003000,100,DestPort,allnet,allnet,3,num
32,20130411003100,100,DestPort,allnet,allnet,4,num
33,20130411003200,100,DestPort,allnet,allnet,5,num
34,20130411003300,100,DestPort,allnet,allnet,7,num
35,20130411003400,100,DestPort,allnet,allnet,3,num
36,20130411003500,100,DestPort,allnet,allnet,2,num
37,20130411003600,100,DestPort,allnet,allnet,4,num
38,20130411003700,100,DestPort,allnet,allnet,4,num
39,20130411003800,100,DestPort,allnet,allnet,6,num
40,20130411003900,100,DestPort,allnet,allnet,4,num
41,20130411004000,100,DestPort,allnet,allnet,4,num
42,20130411004100,100,DestPort,allnet,allnet,5,num
43,20130411004200,100,DestPort,allnet,allnet,4,num
44,20130411004300,100,DestPort,allnet,allnet,4,num
45,20130411004400,100,DestPort,allnet,allnet,4,num
46,20130411004500,100,DestPort,allnet,allnet,5,num
47,20130411004600,100,DestPort,allnet,allnet,5,num
48,20130411004700,100,DestPort,allnet,allnet,3,num
49,20130411004800,100,DestPort,allnet,allnet,4,num
50,20130411004900,100,DestPort,allnet,allnet,3,num
51,20130411005000,100,DestPort,allnet,allnet,5,num
52,20130411005100,100,DestPort,allnet,allnet,5,num
53,20130411005200,100,DestPort,allnet,allnet,4,num
54,20130411005300,100,DestPort,allnet,allnet,5,num
55,20130411005400,100,DestPort,allnet,allnet,5,num
56,20130411005500,100,DestPort,allnet,allnet,4,num
57,20130411005600,100,DestPort,allnet,allnet,3,num
58,20130411005700,100,DestPort,allnet,allnet,4,num
59,20130411005800,100,DestPort,allnet,allnet,7,num
60,20130411005900,100,DestPort,allnet,allnet,3,num
61,20130411010000,100,DestPort,allnet,allnet,5,num
62,20130411010100,100,DestPort,allnet,allnet,4,num
63,20130411010200,100,DestPort,allnet,allnet,4,num
64,20130411010300,100,DestPort,allnet,allnet,4,num
