,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130413000000,100,StaBytes,allnet,allnet,UDP,num
2,20130413000100,100,StaBytes,allnet,allnet,UDPOTHER,num
3,20130413000200,100,StaBytes,allnet,allnet,UDP,num
4,20130413000300,100,StaBytes,allnet,allnet,UDP,num
5,20130413000400,100,StaBytes,allnet,allnet,TCPUDP,num
6,20130413000500,100,StaBytes,allnet,allnet,TCPUDP,num
7,20130413000600,100,StaBytes,allnet,allnet,TCPUDP,num
8,20130413000700,100,StaBytes,allnet,allnet,UDPTCP,num
9,20130413000800,100,StaBytes,allnet,allnet,UDPTCP,num
10,20130413000900,100,StaBytes,allnet,allnet,TCPUDP,num
11,20130413001000,100,StaBytes,allnet,allnet,TCPUDP,num
12,20130413001100,100,StaBytes,allnet,allnet,UDPTCP,num
13,20130413001200,100,StaBytes,allnet,allnet,TCPUDP,num
14,20130413001300,100,StaBytes,allnet,allnet,TCPUDP,num
15,20130413001400,100,StaBytes,allnet,allnet,TCP,num
16,20130413001500,100,StaBytes,allnet,allnet,TCPUDP,num
17,20130413001600,100,StaBytes,allnet,allnet,TCP,num
18,20130413001700,100,StaBytes,allnet,allnet,TCPUDP,num
19,20130413001800,100,StaBytes,allnet,allnet,TCPUDP,num
20,20130413001900,100,StaBytes,allnet,allnet,TCPUDP,num
21,20130413002000,100,StaBytes,allnet,allnet,TCPUDP,num
22,20130413002100,100,StaBytes,allnet,allnet,TCP,num
23,20130413002200,100,StaBytes,allnet,allnet,TCPUDP,num
24,20130413002300,100,StaBytes,allnet,allnet,UDPTCP,num
25,20130413002400,100,StaBytes,allnet,allnet,TCPUDP,num
26,20130413002500,100,StaBytes,allnet,allnet,TCPUDP,num
27,20130413002600,100,StaBytes,allnet,allnet,TCP,num
28,20130413002700,100,StaBytes,allnet,allnet,TCP,num
29,20130413002800,100,StaBytes,allnet,allnet,TCPUDP,num
30,20130413002900,100,StaBytes,allnet,allnet,TCPUDP,num
31,20130413003000,100,StaBytes,allnet,allnet,TCPUDP,num
32,20130413003100,100,StaBytes,allnet,allnet,TCPUDP,num
33,20130413003200,100,StaBytes,allnet,allnet,TCPUDP,num
34,20130413003300,100,StaBytes,allnet,allnet,UDPTCP,num
35,20130413003400,100,StaBytes,allnet,allnet,TCP,num
36,20130413003500,100,StaBytes,allnet,allnet,TCPUDP,num
37,20130413003600,100,StaBytes,allnet,allnet,UDPTCP,num
38,20130413003700,100,StaBytes,allnet,allnet,TCPUDP,num
39,20130413003800,100,StaBytes,allnet,allnet,TCPUDP,num
40,20130413003900,100,StaBytes,allnet,allnet,TCPUDP,num
41,20130413004000,100,StaBytes,allnet,allnet,TCPUDP,num
42,20130413004100,100,StaBytes,allnet,allnet,TCPUDP,num
