,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130412000000,100,StaBytes,allnet,allnet,12,num
2,20130412000100,100,StaBytes,allnet,allnet,15,num
3,20130412000200,100,StaBytes,allnet,allnet,11,num
4,20130412000300,100,StaBytes,allnet,allnet,21,num
5,20130412000400,100,StaBytes,allnet,allnet,16,num
6,20130412000500,100,StaBytes,allnet,allnet,16,num
7,20130412000600,100,StaBytes,allnet,allnet,28,num
8,20130412000700,100,StaBytes,allnet,allnet,18,num
9,20130412000800,100,StaBytes,allnet,allnet,19,num
10,20130412000900,100,StaBytes,allnet,allnet,17,num
11,20130412001000,100,StaBytes,allnet,allnet,16,num
12,20130412001100,100,StaBytes,allnet,allnet,16,num
13,20130412001200,100,StaBytes,allnet,allnet,22,num
14,20130412001300,100,StaBytes,allnet,allnet,11,num
15,20130412001400,100,StaBytes,allnet,allnet,20,num
16,20130412001500,100,StaBytes,allnet,allnet,17,num
17,20130412001600,100,StaBytes,allnet,allnet,26,num
18,20130412001700,100,StaBytes,allnet,allnet,16,num
19,20130412001800,100,StaBytes,allnet,allnet,19,num
20,20130412001900,100,StaBytes,allnet,allnet,16,num
21,20130412002000,100,StaBytes,allnet,allnet,19,num
22,20130412002100,100,StaBytes,allnet,allnet,12,num
23,20130412002200,100,StaBytes,allnet,allnet,19,num
24,20130412002300,100,StaBytes,allnet,allnet,20,num
25,20130412002400,100,StaBytes,allnet,allnet,25,num
26,20130412002500,100,StaBytes,allnet,allnet,16,num
27,20130412002600,100,StaBytes,allnet,allnet,30,num
28,20130412002700,100,StaBytes,allnet,allnet,21,num
29,20130412002800,100,StaBytes,allnet,allnet,17,num
30,20130412002900,100,StaBytes,allnet,allnet,17,num
31,20130412003000,100,StaBytes,allnet,allnet,18,num
32,20130412003100,100,StaBytes,allnet,allnet,16,num
33,20130412003200,100,StaBytes,allnet,allnet,22,num
34,20130412003300,100,StaBytes,allnet,allnet,16,num
35,20130412003400,100,StaBytes,allnet,allnet,20,num
36,20130412003500,100,StaBytes,allnet,allnet,23,num
37,20130412003600,100,StaBytes,allnet,allnet,29,num
38,20130412003700,100,StaBytes,allnet,allnet,20,num
39,20130412003800,100,StaBytes,allnet,allnet,24,num
40,20130412003900,100,StaBytes,allnet,allnet,18,num
41,20130412004000,100,StaBytes,allnet,allnet,11,num
42,20130412004100,100,StaBytes,allnet,allnet,20,num
43,20130412004200,100,StaBytes,allnet,allnet,16,num
44,20130412004300,100,StaBytes,allnet,allnet,20,num
45,20130412004400,100,StaBytes,allnet,allnet,15,num
46,20130412004500,100,StaBytes,allnet,allnet,17,num
47,20130412004600,100,StaBytes,allnet,allnet,26,num
48,20130412004700,100,StaBytes,allnet,allnet,19,num
49,20130412004800,100,StaBytes,allnet,allnet,26,num
50,20130412004900,100,StaBytes,allnet,allnet,19,num
51,20130412005000,100,StaBytes,allnet,allnet,16,num
52,20130412005100,100,StaBytes,allnet,allnet,17,num
53,20130412005200,100,StaBytes,allnet,allnet,21,num
54,20130412005300,100,StaBytes,allnet,allnet,20,num
55,20130412005400,100,StaBytes,allnet,allnet,12,num
56,20130412005500,100,StaBytes,allnet,allnet,22,num
57,20130412005600,100,StaBytes,allnet,allnet,24,num
58,20130412005700,100,StaBytes,allnet,allnet,15,num
59,20130412005800,100,StaBytes,allnet,allnet,17,num
60,20130412005900,100,StaBytes,allnet,allnet,15,num
61,20130412010000,100,StaBytes,allnet,allnet,23,num
62,20130412010100,100,StaBytes,allnet,allnet,21,num
63,20130412010200,100,StaBytes,allnet,allnet,19,num
64,20130412010300,100,StaBytes,allnet,allnet,18,num
65,20130412010400,100,StaBytes,allnet,allnet,17,num
66,20130412010500,100,StaBytes,allnet,allnet,19,num
67,20130412010600,100,StaBytes,allnet,allnet,19,num
68,20130412010700,100,StaBytes,allnet,allnet,20,num
69,20130412010800,100,StaBytes,allnet,allnet,13,num
70,20130412010900,100,StaBytes,allnet,allnet,18,num
71,20130412011000,100,StaBytes,allnet,allnet,20,num
72,20130412011100,100,StaBytes,allnet,allnet,16,num
73,20130412011200,100,StaBytes,allnet,allnet,19,num
74,20130412011300,100,StaBytes,allnet,allnet,20,num
75,20130412011400,100,StaBytes,allnet,allnet,19,num
76,20130412011500,100,StaBytes,allnet,allnet,15,num
