,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130412000000,100,PayloadBytes,allnet,allnet,12342,num
2,20130412000100,100,PayloadBytes,allnet,allnet,10347,num
3,20130412000200,100,PayloadBytes,allnet,allnet,9817,num
4,20130412000300,100,PayloadBytes,allnet,allnet,25349,num
5,20130412000400,100,PayloadBytes,allnet,allnet,17476,num
6,20130412000500,100,PayloadBytes,allnet,allnet,13494,num
7,20130412000600,100,PayloadBytes,allnet,allnet,29921,num
8,20130412000700,100,PayloadBytes,allnet,allnet,23819,num
9,20130412000800,100,PayloadBytes,allnet,allnet,21204,num
10,20130412000900,100,PayloadBytes,allnet,allnet,22389,num
11,20130412001000,100,PayloadBytes,allnet,allnet,20983,num
12,20130412001100,100,PayloadBytes,allnet,allnet,18541,num
13,20130412001200,100,PayloadBytes,allnet,allnet,22650,num
14,20130412001300,100,PayloadBytes,allnet,allnet,11419,num
15,20130412001400,100,PayloadBytes,allnet,allnet,28370,num
16,20130412001500,100,PayloadBytes,allnet,allnet,23069,num
17,20130412001600,100,PayloadBytes,allnet,allnet,29141,num
18,20130412001700,100,PayloadBytes,allnet,allnet,17891,num
19,20130412001800,100,PayloadBytes,allnet,allnet,23209,num
20,20130412001900,100,PayloadBytes,allnet,allnet,19865,num
21,20130412002000,100,PayloadBytes,allnet,allnet,25837,num
22,20130412002100,100,PayloadBytes,allnet,allnet,11340,num
23,20130412002200,100,PayloadBytes,allnet,allnet,19159,num
24,20130412002300,100,PayloadBytes,allnet,allnet,19979,num
25,20130412002400,100,PayloadBytes,allnet,allnet,27389,num
26,20130412002500,100,PayloadBytes,allnet,allnet,18259,num
27,20130412002600,100,PayloadBytes,allnet,allnet,26560,num
28,20130412002700,100,PayloadBytes,allnet,allnet,26431,num
29,20130412002800,100,PayloadBytes,allnet,allnet,19938,num
30,20130412002900,100,PayloadBytes,allnet,allnet,18065,num
31,20130412003000,100,PayloadBytes,allnet,allnet,21872,num
32,20130412003100,100,PayloadBytes,allnet,allnet,15431,num
33,20130412003200,100,PayloadBytes,allnet,allnet,23717,num
34,20130412003300,100,PayloadBytes,allnet,allnet,19902,num
35,20130412003400,100,PayloadBytes,allnet,allnet,22227,num
36,20130412003500,100,PayloadBytes,allnet,allnet,24208,num
37,20130412003600,100,PayloadBytes,allnet,allnet,28291,num
38,20130412003700,100,PayloadBytes,allnet,allnet,20049,num
39,20130412003800,100,PayloadBytes,allnet,allnet,24148,num
40,20130412003900,100,PayloadBytes,allnet,allnet,18845,num
41,20130412004000,100,PayloadBytes,allnet,allnet,12110,num
42,20130412004100,100,PayloadBytes,allnet,allnet,25115,num
43,20130412004200,100,PayloadBytes,allnet,allnet,18986,num
44,20130412004300,100,PayloadBytes,allnet,allnet,24135,num
45,20130412004400,100,PayloadBytes,allnet,allnet,21730,num
46,20130412004500,100,PayloadBytes,allnet,allnet,15401,num
47,20130412004600,100,PayloadBytes,allnet,allnet,23792,num
48,20130412004700,100,PayloadBytes,allnet,allnet,27449,num
49,20130412004800,100,PayloadBytes,allnet,allnet,21703,num
50,20130412004900,100,PayloadBytes,allnet,allnet,17625,num
51,20130412005000,100,PayloadBytes,allnet,allnet,20436,num
52,20130412005100,100,PayloadBytes,allnet,allnet,16785,num
53,20130412005200,100,PayloadBytes,allnet,allnet,24237,num
54,20130412005300,100,PayloadBytes,allnet,allnet,20996,num
