,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130411000000,100,StaBytes,allnet,allnet,32129,num
2,20130411000100,100,StaBytes,allnet,allnet,26044,num
3,20130411000200,100,StaBytes,allnet,allnet,30269,num
4,20130411000300,100,StaBytes,allnet,allnet,25872,num
5,20130411000400,100,StaBytes,allnet,allnet,44780,num
6,20130411000500,100,StaBytes,allnet,allnet,48668,num
7,20130411000600,100,StaBytes,allnet,allnet,85162,num
8,20130411000700,100,StaBytes,allnet,allnet,41721,num
9,20130411000800,100,StaBytes,allnet,allnet,116275,num
10,20130411000900,100,StaBytes,allnet,allnet,165895,num
11,20130411001000,100,StaBytes,allnet,allnet,59361,num
12,20130411001100,100,StaBytes,allnet,allnet,62350,num
13,20130411001200,100,StaBytes,allnet,allnet,65074,num
14,20130411001300,100,StaBytes,allnet,allnet,55137,num
15,20130411001400,100,StaBytes,allnet,allnet,53584,num
16,20130411001500,100,StaBytes,allnet,allnet,58395,num
17,20130411001600,100,StaBytes,allnet,allnet,46067,num
18,20130411001700,100,StaBytes,allnet,allnet,135682,num
19,20130411001800,100,StaBytes,allnet,allnet,77712,num
20,20130411001900,100,StaBytes,allnet,allnet,83197,num
21,20130411002000,100,StaBytes,allnet,allnet,116256,num
22,20130411002100,100,StaBytes,allnet,allnet,88329,num
23,20130411002200,100,StaBytes,allnet,allnet,83862,num
24,20130411002300,100,StaBytes,allnet,allnet,78937,num
25,20130411002400,100,StaBytes,allnet,allnet,107088,num
26,20130411002500,100,StaBytes,allnet,allnet,52863,num
27,20130411002600,100,StaBytes,allnet,allnet,113396,num
28,20130411002700,100,StaBytes,allnet,allnet,55732,num
29,20130411002800,100,StaBytes,allnet,allnet,76823,num
30,20130411002900,100,StaBytes,allnet,allnet,66539,num
31,20130411003000,100,StaBytes,allnet,allnet,54900,num
32,20130411003100,100,StaBytes,allnet,allnet,177092,num
33,20130411003200,100,StaBytes,allnet,allnet,56004,num
34,20130411003300,100,StaBytes,allnet,allnet,93391,num
35,20130411003400,100,StaBytes,allnet,allnet,69121,num
36,20130411003500,100,StaBytes,allnet,allnet,61307,num
37,20130411003600,100,StaBytes,allnet,allnet,67716,num
38,20130411003700,100,StaBytes,allnet,allnet,127810,num
39,20130411003800,100,StaBytes,allnet,allnet,105654,num
40,20130411003900,100,StaBytes,allnet,allnet,114419,num
41,20130411004000,100,StaBytes,allnet,allnet,62075,num
