,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130413000000,100,StaBytes,allnet,allnet,68,num
2,20130413000100,100,StaBytes,allnet,allnet,13,num
3,20130413000200,100,StaBytes,allnet,allnet,40,num
4,20130413000300,100,StaBytes,allnet,allnet,130,num
5,20130413000400,100,StaBytes,allnet,allnet,105,num
6,20130413000500,100,StaBytes,allnet,allnet,961,num
7,20130413000600,100,StaBytes,allnet,allnet,244,num
8,20130413000700,100,StaBytes,allnet,allnet,23,num
9,20130413000800,100,StaBytes,allnet,allnet,349,num
10,20130413000900,100,StaBytes,allnet,allnet,1061,num
11,20130413001000,100,StaBytes,allnet,allnet,295,num
12,20130413001100,100,StaBytes,allnet,allnet,145,num
13,20130413001200,100,StaBytes,allnet,allnet,393,num
14,20130413001300,100,StaBytes,allnet,allnet,734,num
15,20130413001400,100,StaBytes,allnet,allnet,549,num
16,20130413001500,100,StaBytes,allnet,allnet,331,num
17,20130413001600,100,StaBytes,allnet,allnet,269,num
18,20130413001700,100,StaBytes,allnet,allnet,669,num
19,20130413001800,100,StaBytes,allnet,allnet,561,num
20,20130413001900,100,StaBytes,allnet,allnet,284,num
21,20130413002000,100,StaBytes,allnet,allnet,225,num
22,20130413002100,100,StaBytes,allnet,allnet,620,num
23,20130413002200,100,StaBytes,allnet,allnet,1007,num
24,20130413002300,100,StaBytes,allnet,allnet,184,num
25,20130413002400,100,StaBytes,allnet,allnet,326,num
26,20130413002500,100,StaBytes,allnet,allnet,376,num
27,20130413002600,100,StaBytes,allnet,allnet,833,num
28,20130413002700,100,StaBytes,allnet,allnet,371,num
29,20130413002800,100,StaBytes,allnet,allnet,260,num
30,20130413002900,100,StaBytes,allnet,allnet,309,num
31,20130413003000,100,StaBytes,allnet,allnet,1257,num
32,20130413003100,100,StaBytes,allnet,allnet,452,num
33,20130413003200,100,StaBytes,allnet,allnet,217,num
34,20130413003300,100,StaBytes,allnet,allnet,746,num
35,20130413003400,100,StaBytes,allnet,allnet,694,num
36,20130413003500,100,StaBytes,allnet,allnet,318,num
37,20130413003600,100,StaBytes,allnet,allnet,382,num
38,20130413003700,100,StaBytes,allnet,allnet,524,num
39,20130413003800,100,StaBytes,allnet,allnet,1166,num
40,20130413003900,100,StaBytes,allnet,allnet,274,num
41,20130413004000,100,StaBytes,allnet,allnet,312,num
42,20130413004100,100,StaBytes,allnet,allnet,468,num
43,20130413004200,100,StaBytes,allnet,allnet,1308,num
44,20130413004300,100,StaBytes,allnet,allnet,253,num
45,20130413004400,100,StaBytes,allnet,allnet,314,num
46,20130413004500,100,StaBytes,allnet,allnet,344,num
47,20130413004600,100,StaBytes,allnet,allnet,726,num
48,20130413004700,100,StaBytes,allnet,allnet,207,num
49,20130413004800,100,StaBytes,allnet,allnet,455,num
50,20130413004900,100,StaBytes,allnet,allnet,893,num
51,20130413005000,100,StaBytes,allnet,allnet,392,num
52,20130413005100,100,StaBytes,allnet,allnet,357,num
53,20130413005200,100,StaBytes,allnet,allnet,267,num
54,20130413005300,100,StaBytes,allnet,allnet,1058,num
55,20130413005400,100,StaBytes,allnet,allnet,685,num
56,20130413005500,100,StaBytes,allnet,allnet,160,num
57,20130413005600,100,StaBytes,allnet,allnet,397,num
58,20130413005700,100,StaBytes,allnet,allnet,1142,num
59,20130413005800,100,StaBytes,allnet,allnet,633,num
60,20130413005900,100,StaBytes,allnet,allnet,257,num
61,20130413010000,100,StaBytes,allnet,allnet,419,num
62,20130413010100,100,StaBytes,allnet,allnet,1129,num
63,20130413010200,100,StaBytes,allnet,allnet,431,num
64,20130413010300,100,StaBytes,allnet,allnet,384,num
65,20130413010400,100,StaBytes,allnet,allnet,617,num
66,20130413010500,100,StaBytes,allnet,allnet,1178,num
67,20130413010600,100,StaBytes,allnet,allnet,404,num
68,20130413010700,100,StaBytes,allnet,allnet,191,num
69,20130413010800,100,StaBytes,allnet,allnet,529,num
70,20130413010900,100,StaBytes,allnet,allnet,509,num
71,20130413011000,100,StaBytes,allnet,allnet,574,num
72,20130413011100,100,StaBytes,allnet,allnet,317,num
73,20130413011200,100,StaBytes,allnet,allnet,381,num
74,20130413011300,100,StaBytes,allnet,allnet,586,num
75,20130413011400,100,StaBytes,allnet,allnet,453,num
76,20130413011500,100,StaBytes,allnet,allnet,404,num
77,20130413011600,100,StaBytes,allnet,allnet,1059,num
78,20130413011700,100,StaBytes,allnet,allnet,633,num
79,20130413011800,100,StaBytes,allnet,allnet,336,num
80,20130413011900,100,StaBytes,allnet,allnet,629,num
81,20130413012000,100,StaBytes,allnet,allnet,985,num
82,20130413012100,100,StaBytes,allnet,allnet,386,num
83,20130413012200,100,StaBytes,allnet,allnet,396,num
84,20130413012300,100,StaBytes,allnet,allnet,1048,num
85,20130413012400,100,StaBytes,allnet,allnet,637,num
86,20130413012500,100,StaBytes,allnet,allnet,286,num
87,20130413012600,100,StaBytes,allnet,allnet,643,num
88,20130413012700,100,StaBytes,allnet,allnet,1102,num
89,20130413012800,100,StaBytes,allnet,allnet,607,num
90,20130413012900,100,StaBytes,allnet,allnet,258,num
91,20130413013000,100,StaBytes,allnet,allnet,1102,num
92,20130413013100,100,StaBytes,allnet,allnet,890,num
93,20130413013200,100,StaBytes,allnet,allnet,545,num
94,20130413013300,100,StaBytes,allnet,allnet,469,num
95,20130413013400,100,StaBytes,allnet,allnet,1010,num
96,20130413013500,100,StaBytes,allnet,allnet,315,num
97,20130413013600,100,StaBytes,allnet,allnet,283,num
98,20130413013700,100,StaBytes,allnet,allnet,757,num
99,20130413013800,100,StaBytes,allnet,allnet,558,num
100,20130413013900,100,StaBytes,allnet,allnet,297,num
101,20130413014000,100,StaBytes,allnet,allnet,585,num
102,20130413014100,100,StaBytes,allnet,allnet,1127,num
103,20130413014200,100,StaBytes,allnet,allnet,351,num
104,20130413014300,100,StaBytes,allnet,allnet,433,num
105,20130413014400,100,StaBytes,allnet,allnet,908,num
106,20130413014500,100,StaBytes,allnet,allnet,546,num
107,20130413014600,100,StaBytes,allnet,allnet,449,num
108,20130413014700,100,StaBytes,allnet,allnet,869,num
109,20130413014800,100,StaBytes,allnet,allnet,585,num
110,20130413014900,100,StaBytes,allnet,allnet,386,num
111,20130413015000,100,StaBytes,allnet,allnet,599,num
112,20130413015100,100,StaBytes,allnet,allnet,933,num
113,20130413015200,100,StaBytes,allnet,allnet,365,num
114,20130413015300,100,StaBytes,allnet,allnet,345,num
115,20130413015400,100,StaBytes,allnet,allnet,405,num
116,20130413015500,100,StaBytes,allnet,allnet,560,num
117,20130413015600,100,StaBytes,allnet,allnet,286,num
118,20130413015700,100,StaBytes,allnet,allnet,361,num
119,20130413015800,100,StaBytes,allnet,allnet,262,num
120,20130413015900,100,StaBytes,allnet,allnet,738,num
121,20130413020000,100,StaBytes,allnet,allnet,740,num
122,20130413020100,100,StaBytes,allnet,allnet,549,num
123,20130413020200,100,StaBytes,allnet,allnet,805,num
124,20130413020300,100,StaBytes,allnet,allnet,271,num
125,20130413020400,100,StaBytes,allnet,allnet,1121,num
126,20130413020500,100,StaBytes,allnet,allnet,606,num
127,20130413020600,100,StaBytes,allnet,allnet,505,num
128,20130413020700,100,StaBytes,allnet,allnet,546,num
129,20130413020800,100,StaBytes,allnet,allnet,656,num
130,20130413020900,100,StaBytes,allnet,allnet,274,num
131,20130413021000,100,StaBytes,allnet,allnet,485,num
132,20130413021100,100,StaBytes,allnet,allnet,429,num
133,20130413021200,100,StaBytes,allnet,allnet,484,num
134,20130413021300,100,StaBytes,allnet,allnet,677,num
135,20130413021400,100,StaBytes,allnet,allnet,309,num
136,20130413021500,100,StaBytes,allnet,allnet,517,num
137,20130413021600,100,StaBytes,allnet,allnet,245,num
138,20130413021700,100,StaBytes,allnet,allnet,778,num
139,20130413021800,100,StaBytes,allnet,allnet,315,num
140,20130413021900,100,StaBytes,allnet,allnet,213,num
141,20130413022000,100,StaBytes,allnet,allnet,778,num
142,20130413022100,100,StaBytes,allnet,allnet,388,num
143,20130413022200,100,StaBytes,allnet,allnet,491,num
144,20130413022300,100,StaBytes,allnet,allnet,311,num
145,20130413022400,100,StaBytes,allnet,allnet,721,num
146,20130413022500,100,StaBytes,allnet,allnet,457,num
147,20130413022600,100,StaBytes,allnet,allnet,716,num
148,20130413022700,100,StaBytes,allnet,allnet,911,num
149,20130413022800,100,StaBytes,allnet,allnet,514,num
150,20130413022900,100,StaBytes,allnet,allnet,369,num
151,20130413023000,100,StaBytes,allnet,allnet,1224,num
152,20130413023100,100,StaBytes,allnet,allnet,357,num
153,20130413023200,100,StaBytes,allnet,allnet,513,num
154,20130413023300,100,StaBytes,allnet,allnet,974,num
155,20130413023400,100,StaBytes,allnet,allnet,927,num
156,20130413023500,100,StaBytes,allnet,allnet,958,num
157,20130413023600,100,StaBytes,allnet,allnet,642,num
158,20130413023700,100,StaBytes,allnet,allnet,564,num
159,20130413023800,100,StaBytes,allnet,allnet,790,num
160,20130413023900,100,StaBytes,allnet,allnet,554,num
161,20130413024000,100,StaBytes,allnet,allnet,654,num
162,20130413024100,100,StaBytes,allnet,allnet,859,num
163,20130413024200,100,StaBytes,allnet,allnet,431,num
164,20130413024300,100,StaBytes,allnet,allnet,765,num
165,20130413024400,100,StaBytes,allnet,allnet,457,num
166,20130413024500,100,StaBytes,allnet,allnet,300,num
167,20130413024600,100,StaBytes,allnet,allnet,680,num
168,20130413024700,100,StaBytes,allnet,allnet,1522,num
169,20130413024800,100,StaBytes,allnet,allnet,292,num
170,20130413024900,100,StaBytes,allnet,allnet,497,num
171,20130413025000,100,StaBytes,allnet,allnet,862,num
172,20130413025100,100,StaBytes,allnet,allnet,968,num
173,20130413025200,100,StaBytes,allnet,allnet,399,num
174,20130413025300,100,StaBytes,allnet,allnet,1340,num
175,20130413025400,100,StaBytes,allnet,allnet,412,num
176,20130413025500,100,StaBytes,allnet,allnet,574,num
177,20130413025600,100,StaBytes,allnet,allnet,772,num
178,20130413025700,100,StaBytes,allnet,allnet,737,num
179,20130413025800,100,StaBytes,allnet,allnet,146,num
180,20130413025900,100,StaBytes,allnet,allnet,411,num
181,20130413030000,100,StaBytes,allnet,allnet,710,num
182,20130413030100,100,StaBytes,allnet,allnet,596,num
183,20130413030200,100,StaBytes,allnet,allnet,414,num
184,20130413030300,100,StaBytes,allnet,allnet,290,num
185,20130413030400,100,StaBytes,allnet,allnet,448,num
186,20130413030500,100,StaBytes,allnet,allnet,490,num
187,20130413030600,100,StaBytes,allnet,allnet,631,num
188,20130413030700,100,StaBytes,allnet,allnet,423,num
189,20130413030800,100,StaBytes,allnet,allnet,356,num
190,20130413030900,100,StaBytes,allnet,allnet,329,num
191,20130413031000,100,StaBytes,allnet,allnet,811,num
192,20130413031100,100,StaBytes,allnet,allnet,592,num
193,20130413031200,100,StaBytes,allnet,allnet,286,num
194,20130413031300,100,StaBytes,allnet,allnet,744,num
195,20130413031400,100,StaBytes,allnet,allnet,653,num
196,20130413031500,100,StaBytes,allnet,allnet,897,num
197,20130413031600,100,StaBytes,allnet,allnet,509,num
198,20130413031700,100,StaBytes,allnet,allnet,466,num
199,20130413031800,100,StaBytes,allnet,allnet,716,num
200,20130413031900,100,StaBytes,allnet,allnet,491,num
201,20130413032000,100,StaBytes,allnet,allnet,1026,num
202,20130413032100,100,StaBytes,allnet,allnet,577,num
203,20130413032200,100,StaBytes,allnet,allnet,452,num
204,20130413032300,100,StaBytes,allnet,allnet,233,num
205,20130413032400,100,StaBytes,allnet,allnet,483,num
206,20130413032500,100,StaBytes,allnet,allnet,394,num
207,20130413032600,100,StaBytes,allnet,allnet,212,num
208,20130413032700,100,StaBytes,allnet,allnet,558,num
209,20130413032800,100,StaBytes,allnet,allnet,267,num
210,20130413032900,100,StaBytes,allnet,allnet,353,num
211,20130413033000,100,StaBytes,allnet,allnet,555,num
212,20130413033100,100,StaBytes,allnet,allnet,232,num
213,20130413033200,100,StaBytes,allnet,allnet,497,num
214,20130413033300,100,StaBytes,allnet,allnet,583,num
215,20130413033400,100,StaBytes,allnet,allnet,610,num
216,20130413033500,100,StaBytes,allnet,allnet,493,num
217,20130413033600,100,StaBytes,allnet,allnet,378,num
218,20130413033700,100,StaBytes,allnet,allnet,460,num
219,20130413033800,100,StaBytes,allnet,allnet,263,num
220,20130413033900,100,StaBytes,allnet,allnet,535,num
221,20130413034000,100,StaBytes,allnet,allnet,603,num
222,20130413034100,100,StaBytes,allnet,allnet,321,num
223,20130413034200,100,StaBytes,allnet,allnet,424,num
224,20130413034300,100,StaBytes,allnet,allnet,730,num
225,20130413034400,100,StaBytes,allnet,allnet,681,num
226,20130413034500,100,StaBytes,allnet,allnet,308,num
227,20130413034600,100,StaBytes,allnet,allnet,640,num
228,20130413034700,100,StaBytes,allnet,allnet,915,num
229,20130413034800,100,StaBytes,allnet,allnet,545,num
230,20130413034900,100,StaBytes,allnet,allnet,349,num
