,Time,TimeInterval,StatisticItem,StatisticScope,StatisticParam,StatisticValue,MeasureUnit
1,20130412000000,100,SrcIpEntropy,allnet,allnet,0.0017909709352349143,num
2,20130412000100,100,SrcIpEntropy,allnet,allnet,0.001967394674131447,num
3,20130412000200,100,SrcIpEntropy,allnet,allnet,0.0017127771945473775,num
4,20130412000300,100,SrcIpEntropy,allnet,allnet,0.0020682514018459477,num
5,20130412000400,100,SrcIpEntropy,allnet,allnet,0.0020783108850833797,num
6,20130412000500,100,SrcIpEntropy,allnet,allnet,0.0016613709481335974,num
7,20130412000600,100,SrcIpEntropy,allnet,allnet,0.002283487804332363,num
8,20130412000700,100,SrcIpEntropy,allnet,allnet,0.002043622880570367,num
9,20130412000800,100,SrcIpEntropy,allnet,allnet,0.0018015063828806036,num
10,20130412000900,100,SrcIpEntropy,allnet,allnet,0.0024475975372326283,num
11,20130412001000,100,SrcIpEntropy,allnet,allnet,0.001957642077475034,num
12,20130412001100,100,SrcIpEntropy,allnet,allnet,0.0020905336853091713,num
13,20130412001200,100,SrcIpEntropy,allnet,allnet,0.0023214005429317464,num
14,20130412001300,100,SrcIpEntropy,allnet,allnet,0.0016989954481912068,num
15,20130412001400,100,SrcIpEntropy,allnet,allnet,0.0028088747040325565,num
16,20130412001500,100,SrcIpEntropy,allnet,allnet,0.001974123330697772,num
17,20130412001600,100,SrcIpEntropy,allnet,allnet,0.0022677240529929876,num
18,20130412001700,100,SrcIpEntropy,allnet,allnet,0.0018012819599045186,num
19,20130412001800,100,SrcIpEntropy,allnet,allnet,0.001962830770405037,num
20,20130412001900,100,SrcIpEntropy,allnet,allnet,0.0019246160569442647,num
21,20130412002000,100,SrcIpEntropy,allnet,allnet,0.0022670024729212674,num
22,20130412002100,100,SrcIpEntropy,allnet,allnet,0.0018948349608968375,num
23,20130412002200,100,SrcIpEntropy,allnet,allnet,0.002070475070984958,num
24,20130412002300,100,SrcIpEntropy,allnet,allnet,0.0019850063859849225,num
25,20130412002400,100,SrcIpEntropy,allnet,allnet,0.0022418660273150694,num
26,20130412002500,100,SrcIpEntropy,allnet,allnet,0.001953478883306171,num
27,20130412002600,100,SrcIpEntropy,allnet,allnet,0.0024590104035678937,num
28,20130412002700,100,SrcIpEntropy,allnet,allnet,0.0023289829855211567,num
29,20130412002800,100,SrcIpEntropy,allnet,allnet,0.002067377663707605,num
30,20130412002900,100,SrcIpEntropy,allnet,allnet,0.0020629239941683144,num
31,20130412003000,100,SrcIpEntropy,allnet,allnet,0.00225902279036347,num
32,20130412003100,100,SrcIpEntropy,allnet,allnet,0.0018486354638785549,num
33,20130412003200,100,SrcIpEntropy,allnet,allnet,0.0023899649031790347,num
34,20130412003300,100,SrcIpEntropy,allnet,allnet,0.00218212281397797,num
35,20130412003400,100,SrcIpEntropy,allnet,allnet,0.0022842454155802745,num
36,20130412003500,100,SrcIpEntropy,allnet,allnet,0.002304078408168595,num
37,20130412003600,100,SrcIpEntropy,allnet,allnet,0.0025165954906717146,num
38,20130412003700,100,SrcIpEntropy,allnet,allnet,0.0020998111067040827,num
39,20130412003800,100,SrcIpEntropy,allnet,allnet,0.002100940820417748,num
40,20130412003900,100,SrcIpEntropy,allnet,allnet,0.0021846368758195772,num
41,20130412004000,100,SrcIpEntropy,allnet,allnet,0.001631271621998769,num
42,20130412004100,100,SrcIpEntropy,allnet,allnet,0.002132343951215153,num
43,20130412004200,100,SrcIpEntropy,allnet,allnet,0.002108889842667437,num
44,20130412004300,100,SrcIpEntropy,allnet,allnet,0.0019485365423890532,num
45,20130412004400,100,SrcIpEntropy,allnet,allnet,0.0020717615144385908,num
46,20130412004500,100,SrcIpEntropy,allnet,allnet,0.001925036414931439,num
47,20130412004600,100,SrcIpEntropy,allnet,allnet,0.002028051350027693,num
48,20130412004700,100,SrcIpEntropy,allnet,allnet,0.002501109247254181,num
49,20130412004800,100,SrcIpEntropy,allnet,allnet,0.002266296019768988,num
50,20130412004900,100,SrcIpEntropy,allnet,allnet,0.001986425246696443,num
51,20130412005000,100,SrcIpEntropy,allnet,allnet,0.0021889428214585515,num
52,20130412005100,100,SrcIpEntropy,allnet,allnet,0.0019607135377065626,num
53,20130412005200,100,SrcIpEntropy,allnet,allnet,0.0020216840065885506,num
54,20130412005300,100,SrcIpEntropy,allnet,allnet,0.0021971315448913314,num
55,20130412005400,100,SrcIpEntropy,allnet,allnet,0.0016858940944796663,num
56,20130412005500,100,SrcIpEntropy,allnet,allnet,0.001981614272447882,num
57,20130412005600,100,SrcIpEntropy,allnet,allnet,0.0025037282773063946,num
58,20130412005700,100,SrcIpEntropy,allnet,allnet,0.0023008155622963613,num
59,20130412005800,100,SrcIpEntropy,allnet,allnet,0.0019863652482031598,num
60,20130412005900,100,SrcIpEntropy,allnet,allnet,0.0019785873330177197,num
61,20130412010000,100,SrcIpEntropy,allnet,allnet,0.0021856140835273125,num
62,20130412010100,100,SrcIpEntropy,allnet,allnet,0.0023125943539402563,num
63,20130412010200,100,SrcIpEntropy,allnet,allnet,0.0020370858285475614,num
64,20130412010300,100,SrcIpEntropy,allnet,allnet,0.00221757703091642,num
65,20130412010400,100,SrcIpEntropy,allnet,allnet,0.00196115937879437,num
66,20130412010500,100,SrcIpEntropy,allnet,allnet,0.0020158877032576566,num
67,20130412010600,100,SrcIpEntropy,allnet,allnet,0.0019987737449717194,num
68,20130412010700,100,SrcIpEntropy,allnet,allnet,0.002108330881420789,num
69,20130412010800,100,SrcIpEntropy,allnet,allnet,0.0019181425933792755,num
70,20130412010900,100,SrcIpEntropy,allnet,allnet,0.001985128580141001,num
71,20130412011000,100,SrcIpEntropy,allnet,allnet,0.002435930951186004,num
72,20130412011100,100,SrcIpEntropy,allnet,allnet,0.00228909229066111,num
73,20130412011200,100,SrcIpEntropy,allnet,allnet,0.002265650132752529,num
74,20130412011300,100,SrcIpEntropy,allnet,allnet,0.0023062529925821766,num
75,20130412011400,100,SrcIpEntropy,allnet,allnet,0.0019567059886366825,num
76,20130412011500,100,SrcIpEntropy,allnet,allnet,0.002156080316276085,num
77,20130412011600,100,SrcIpEntropy,allnet,allnet,0.0018975577487448238,num
78,20130412011700,100,SrcIpEntropy,allnet,allnet,0.0022358546944862834,num
79,20130412011800,100,SrcIpEntropy,allnet,allnet,0.002150147898303548,num
80,20130412011900,100,SrcIpEntropy,allnet,allnet,0.002006730858548182,num
81,20130412012000,100,SrcIpEntropy,allnet,allnet,0.0016343430822302978,num
82,20130412012100,100,SrcIpEntropy,allnet,allnet,0.0024332183664451555,num
83,20130412012200,100,SrcIpEntropy,allnet,allnet,0.002039798567049483,num
84,20130412012300,100,SrcIpEntropy,allnet,allnet,0.0019305536220876874,num
85,20130412012400,100,SrcIpEntropy,allnet,allnet,0.001861790688684044,num
86,20130412012500,100,SrcIpEntropy,allnet,allnet,0.001766516496061333,num
87,20130412012600,100,SrcIpEntropy,allnet,allnet,0.002471948375696267,num
88,20130412012700,100,SrcIpEntropy,allnet,allnet,0.0020751471755983616,num
89,20130412012800,100,SrcIpEntropy,allnet,allnet,0.002409354142470516,num
90,20130412012900,100,SrcIpEntropy,allnet,allnet,0.002158998410097642,num
91,20130412013000,100,SrcIpEntropy,allnet,allnet,0.002382504119192586,num
92,20130412013100,100,SrcIpEntropy,allnet,allnet,0.0026963635963197026,num
93,20130412013200,100,SrcIpEntropy,allnet,allnet,0.001694372556045764,num
94,20130412013300,100,SrcIpEntropy,allnet,allnet,0.0020086479247950415,num
95,20130412013400,100,SrcIpEntropy,allnet,allnet,0.001884751398741629,num
96,20130412013500,100,SrcIpEntropy,allnet,allnet,0.0021859423479402337,num
97,20130412013600,100,SrcIpEntropy,allnet,allnet,0.0023070822099191543,num
98,20130412013700,100,SrcIpEntropy,allnet,allnet,0.002094842420756057,num
99,20130412013800,100,SrcIpEntropy,allnet,allnet,0.0020089949231314607,num
100,20130412013900,100,SrcIpEntropy,allnet,allnet,0.0021849900058754108,num
101,20130412014000,100,SrcIpEntropy,allnet,allnet,0.0021409192594668493,num
102,20130412014100,100,SrcIpEntropy,allnet,allnet,0.0016880914790542681,num
103,20130412014200,100,SrcIpEntropy,allnet,allnet,0.0017939797359703743,num
104,20130412014300,100,SrcIpEntropy,allnet,allnet,0.0020957339887930416,num
105,20130412014400,100,SrcIpEntropy,allnet,allnet,0.0022398588351798584,num
106,20130412014500,100,SrcIpEntropy,allnet,allnet,0.0025451083018163136,num
107,20130412014600,100,SrcIpEntropy,allnet,allnet,0.0023068339057060188,num
108,20130412014700,100,SrcIpEntropy,allnet,allnet,0.0018239860057976736,num
109,20130412014800,100,SrcIpEntropy,allnet,allnet,0.002008549082043653,num
110,20130412014900,100,SrcIpEntropy,allnet,allnet,0.0022164027964013877,num
111,20130412015000,100,SrcIpEntropy,allnet,allnet,0.0019237520233060022,num
112,20130412015100,100,SrcIpEntropy,allnet,allnet,0.0020862232960515937,num
113,20130412015200,100,SrcIpEntropy,allnet,allnet,0.0020657794284938014,num
114,20130412015300,100,SrcIpEntropy,allnet,allnet,0.001648603739412925,num
115,20130412015400,100,SrcIpEntropy,allnet,allnet,0.002531862001688201,num
116,20130412015500,100,SrcIpEntropy,allnet,allnet,0.0020507519978357077,num
117,20130412015600,100,SrcIpEntropy,allnet,allnet,0.0025037597992034442,num
118,20130412015700,100,SrcIpEntropy,allnet,allnet,0.0019605188769673252,num
119,20130412015800,100,SrcIpEntropy,allnet,allnet,0.0019889164963820265,num
120,20130412015900,100,SrcIpEntropy,allnet,allnet,0.002435021677596991,num
121,20130412020000,100,SrcIpEntropy,allnet,allnet,0.002420946633775228,num
122,20130412020100,100,SrcIpEntropy,allnet,allnet,0.002083208966326323,num
123,20130412020200,100,SrcIpEntropy,allnet,allnet,0.0017408631840927272,num
124,20130412020300,100,SrcIpEntropy,allnet,allnet,0.001768428652821775,num
125,20130412020400,100,SrcIpEntropy,allnet,allnet,0.0019193825638312923,num
126,20130412020500,100,SrcIpEntropy,allnet,allnet,0.0022636199021624586,num
127,20130412020600,100,SrcIpEntropy,allnet,allnet,0.002796337279973026,num
128,20130412020700,100,SrcIpEntropy,allnet,allnet,0.001901622873188054,num
129,20130412020800,100,SrcIpEntropy,allnet,allnet,0.0021663626206260196,num
130,20130412020900,100,SrcIpEntropy,allnet,allnet,0.0018443895834433588,num
131,20130412021000,100,SrcIpEntropy,allnet,allnet,0.0019451140125808894,num
132,20130412021100,100,SrcIpEntropy,allnet,allnet,0.0020130691127733464,num
133,20130412021200,100,SrcIpEntropy,allnet,allnet,0.0018216855375502033,num
134,20130412021300,100,SrcIpEntropy,allnet,allnet,0.0024243979635492443,num
135,20130412021400,100,SrcIpEntropy,allnet,allnet,0.0026301996972019964,num
136,20130412021500,100,SrcIpEntropy,allnet,allnet,0.0021032412886652176,num
137,20130412021600,100,SrcIpEntropy,allnet,allnet,0.0020921742365026955,num
138,20130412021700,100,SrcIpEntropy,allnet,allnet,0.0018270574660292028,num
139,20130412021800,100,SrcIpEntropy,allnet,allnet,0.0018876177830351253,num
140,20130412021900,100,SrcIpEntropy,allnet,allnet,0.0027435614323528955,num
141,20130412022000,100,SrcIpEntropy,allnet,allnet,0.0017693635333167767,num
142,20130412022100,100,SrcIpEntropy,allnet,allnet,0.001767890308299051,num
143,20130412022200,100,SrcIpEntropy,allnet,allnet,0.002291016576273519,num
144,20130412022300,100,SrcIpEntropy,allnet,allnet,0.0021606869171645095,num
145,20130412022400,100,SrcIpEntropy,allnet,allnet,0.0023074666180032863,num
146,20130412022500,100,SrcIpEntropy,allnet,allnet,0.0021811155843905945,num
147,20130412022600,100,SrcIpEntropy,allnet,allnet,0.002135400480402736,num
148,20130412022700,100,SrcIpEntropy,allnet,allnet,0.0019934349255475914,num
149,20130412022800,100,SrcIpEntropy,allnet,allnet,0.0019692426346455466,num
150,20130412022900,100,SrcIpEntropy,allnet,allnet,0.0019034261843398899,num
151,20130412023000,100,SrcIpEntropy,allnet,allnet,0.001948979389850643,num
152,20130412023100,100,SrcIpEntropy,allnet,allnet,0.0017911326987149305,num
153,20130412023200,100,SrcIpEntropy,allnet,allnet,0.002484586143145528,num
154,20130412023300,100,SrcIpEntropy,allnet,allnet,0.002077370844737372,num
155,20130412023400,100,SrcIpEntropy,allnet,allnet,0.0020774657825405347,num
156,20130412023500,100,SrcIpEntropy,allnet,allnet,0.0021540719291862176,num
157,20130412023600,100,SrcIpEntropy,allnet,allnet,0.0023073511536966045,num
158,20130412023700,100,SrcIpEntropy,allnet,allnet,0.0019009242126846982,num
159,20130412023800,100,SrcIpEntropy,allnet,allnet,0.001834290589388415,num
160,20130412023900,100,SrcIpEntropy,allnet,allnet,0.002191280705585877,num
161,20130412024000,100,SrcIpEntropy,allnet,allnet,0.0019102360320520611,num
162,20130412024100,100,SrcIpEntropy,allnet,allnet,0.002415834933023173,num
163,20130412024200,100,SrcIpEntropy,allnet,allnet,0.0018089783153984109,num
164,20130412024300,100,SrcIpEntropy,allnet,allnet,0.00230700661973783,num
165,20130412024400,100,SrcIpEntropy,allnet,allnet,0.0014801297510912074,num
166,20130412024500,100,SrcIpEntropy,allnet,allnet,0.0018928691354611982,num
167,20130412024600,100,SrcIpEntropy,allnet,allnet,0.001951010864953158,num
168,20130412024700,100,SrcIpEntropy,allnet,allnet,0.002429417101656658,num
